iter	RMSE
0	183962.4641
1	167627.7482
2	154069.0472
3	146866.5212
4	140434.1678
5	135825.9847
6	131214.1888
7	128021.0018
8	125361.3854
9	123316.2071
10	120575.6124
11	119043.0942
12	117914.1513
13	117010.796
14	116349.8415
15	115068.4333
16	114458.6433
17	113211.1918
18	112826.6389
19	112452.0853
20	111978.0258
21	111548.9467
22	111185.3654
23	110712.1124
24	110307.3482
25	110068.4519
26	109682.0195
27	109461.2412
28	109034.7867
29	108896.2192
30	108615.0475
31	108306.2351
32	108053.1032
33	107615.9471
34	107372.431
35	107126.8927
36	106973.8688
37	106759.3149
38	106459.0869
39	106261.2486
40	106027.54
41	105781.3425
42	105583.6308
43	105211.5577
44	104666.1708
45	104417.961
46	103944.4563
47	103681.5
48	103491.0687
49	102593.8632
50	102356.9526
51	102169.5037
52	101935.0414
53	101853.4971
54	101496.815
55	101068.8649
56	100993.4206
57	100954.3665
58	100828.0042
59	100599.1524
60	100538.4884
61	100510.2265
62	100001.5689
63	99491.6933
64	99469.82805
65	99453.13391
66	99096.08734
67	99083.0531
68	99071.71576
69	99062.77538
70	99055.70665
71	99050.11022
72	99041.64659
73	99035.10243
74	98994.8337
75	98892.19618
76	98887.1279
77	98883.18689
78	98880.12038
79	98845.07533
80	98842.67706
81	98840.80583
82	98839.33519
83	98813.39762
84	98812.24819
85	98811.3413
86	98746.32903
87	98308.81217
88	98006.68835
89	97950.75385
90	97446.40116
91	97286.35529
92	97198.59563
93	97168.7779
94	97148.50283
95	97132.34302
96	97130.96451
97	97117.25346
98	97105.09106
99	97096.28618
100	97095.57789
101	97095.00911
102	97094.56911
103	97093.34568
104	97092.34224
105	97083.5362
106	97083.19811
107	97077.17132
108	97072.45374
109	97069.27099
110	96777.8296
111	96507.59041
112	96219.07735
113	95755.02155
114	95346.79763
115	95216.48445
116	95017.05527
117	94905.23053
118	94769.79685
119	94397.7142
120	94239.13049
121	94095.16393
122	94064.31812
123	94012.02328
124	93936.01398
125	93902.43056
126	93751.80647
127	93726.62334
128	93651.8789
129	93631.75484
130	93303.26632
131	93276.93716
132	93201.67278
133	93176.2431
134	93172.91328
135	93170.19565
136	93116.72166
137	93097.18705
138	93077.37686
139	92919.89274
140	92773.3427
141	92760.40012
142	92746.52324
143	92682.53243
144	92680.52278
145	92668.93343
146	92668.00296
147	92659.20097
148	92657.87399
149	92591.55994
150	92590.49927
151	92590.19542
152	92589.33168
153	92589.02782
154	92588.38071
155	92587.6717
156	92587.45224
157	92586.19739
158	92585.20138
159	92584.82716
160	92584.04216
161	92583.24589
162	92582.83509
163	92582.22452
164	92332.35339
165	92332.26029
166	92330.54491
167	92330.52234
168	92330.50541
169	92330.48848
170	92330.47155
171	92330.3192
172	92330.10477
173	92330.08784
174	92329.61385
175	92329.2386
176	92329.06649
177	92328.76742
178	92328.13542
179	92328.06488
180	92328.00563
181	92327.95202
182	92327.8307
183	92327.78273
184	92327.69527
185	92327.62473
186	92327.5683
187	92327.52316
188	92327.48366
189	92327.43569
190	92327.39619
191	92327.35669
192	92327.3313
193	92266.04255
194	92260.73167
195	92120.30455
196	92085.92033
197	92063.04886
198	92059.11567
199	92041.88968
200	92028.45926
201	92000.03806
202	91989.09077
203	91974.2365
204	91764.29262
205	91761.83419
206	91753.77713
207	91747.7211
208	91746.84943
209	91746.17367
210	91741.96565
211	91703.44852
212	91464.80546
213	91463.13932
214	91458.22045
215	91457.69067
216	91457.27481
217	91455.01037
218	91454.67996
219	91452.76296
220	91451.13078
221	91450.92854
222	91450.74908
223	91449.70936
224	91422.49876
225	91420.99426
226	91416.95935
227	91416.32674
228	91003.06178
229	90981.53869
230	90963.42706
231	90767.26113
232	90753.34356
233	90752.16668
234	90751.20221
235	90576.00264
236	90575.85309
237	90575.53097
238	90575.4073
239	90575.15133
240	90574.94138
241	90574.76882
242	90574.62214
243	90574.56462
244	90574.54161
245	90574.09006
246	90574.06705
247	90574.05555
248	90574.04404
249	90251.64091
250	90235.40651
251	90223.03823
252	90219.13742
253	90217.76589
254	90180.16919
255	90169.94854
256	90161.20316
257	90160.73221
258	90082.48255
259	90070.14534
260	90068.13814
261	90064.21616
262	89922.5084
263	89797.71458
264	89793.22668
265	89644.84891
266	89642.98911
267	89642.2568
268	89452.22151
269	89294.24268
270	89241.36233
271	89031.20339
272	88981.61545
273	88974.89643
274	88951.19283
275	88836.47715
276	88833.78521
277	88829.88205
278	88828.37176
279	88827.31308
280	88825.75583
281	88824.90827
282	88824.39504
283	88823.51815
284	88822.80841
285	88819.67319
286	88797.99932
287	88602.8076
288	88602.56651
289	88602.3607
290	88589.64093
291	88588.33239
292	88578.08981
293	88548.49056
294	88546.60479
295	88545.5398
296	88544.22178
297	88544.01878
298	88543.83931
299	88524.18135
300	88524.02833
301	88523.92534
302	88523.87826
303	88482.74441
304	88468.36439
305	88460.22233
306	88425.79361
307	88391.2778
308	88389.44467
309	88381.7522
310	88381.31598
311	88380.96523
312	88380.89154
313	88380.85028
314	88375.18801
315	88358.66191
316	88346.38473
317	88344.99887
318	88343.54221
319	88343.25029
320	88278.85329
321	88240.35077
322	88234.02997
323	88220.77283
324	88217.94103
325	88185.39988
326	88165.09175
327	88164.48308
328	88152.80829
329	88152.43299
330	88143.05595
331	88142.68061
332	88121.5231
333	88110.40435
334	88102.52193
335	87981.52733
336	87911.85773
337	87907.23799
338	87905.11325
339	87826.47934
340	87825.02002
341	87685.56689
342	87685.21336
343	87685.1896
344	87685.17474
345	87685.12424
346	87685.10344
347	87638.58833
348	87622.30682
349	87621.99168
350	87613.72935
351	87613.5569
352	87459.15223
353	87193.37639
354	87192.67131
355	87069.59859
356	87025.86165
357	86808.83597
358	86789.94361
359	86789.55642
360	86729.06694
361	86647.1651
362	86626.61965
363	86611.79913
364	86601.39197
365	86595.91718
366	86594.88235
367	86589.97875
368	86497.56171
369	86496.61906
370	86481.7371
371	86467.7835
372	86461.46569
373	86446.84888
374	86418.58453
375	86366.31421
376	86347.87712
377	86347.09877
378	86174.31762
379	86147.99893
380	86147.66328
381	86095.47054
382	86044.4844
383	86013.92848
384	85994.73729
385	85965.83035
386	85961.86364
387	85942.52139
388	85939.05072
389	85888.23256
390	85887.92016
391	85796.07677
392	85600.88708
393	85515.78158
394	85504.75966
395	85483.36369
396	85464.64468
397	85459.24948
398	85457.54855
399	85430.64314
400	85428.59401
401	85412.48596
402	85411.62588
403	85356.8529
404	85349.76612
405	85349.01224
406	85346.51858
407	85340.52374
408	85324.00215
409	85293.04764
410	85292.43374
411	85286.83828
412	85223.3963
413	85222.88584
414	85211.68235
415	85067.83807
416	85064.67163
417	84848.48751
418	84814.15295
419	84793.77166
420	84676.01714
421	84669.56871
422	84646.46906
423	84613.93362
424	84610.80254
425	84600.55568
426	84588.66
427	84576.8643
428	84576.48545
429	84574.16923
430	84567.99026
431	84426.76735
432	84306.30334
433	84271.7757
434	84156.22219
435	84117.11474
436	84104.37946
437	84092.47245
438	84050.18648
439	84038.98164
440	83965.76161
441	83935.38623
442	83934.5793
443	83930.35519
444	83901.93546
445	83898.04194
446	83897.34643
447	83852.37737
448	83845.2846
449	83836.60345
450	83836.48227
451	83835.73653
452	83819.05819
453	83670.91448
454	83670.53153
455	83668.44553
456	83666.65838
457	83666.60545
458	83666.56808
459	83665.03621
460	83665.01752
461	83664.73419
462	83664.30451
463	83647.57642
464	83605.91916
465	83604.90652
466	83571.63206
467	83571.0741
468	83570.48497
469	83349.5754
470	83348.60652
471	83347.7564
472	83346.80001
473	83340.83949
474	83339.83613
475	83338.97654
476	83324.67173
477	83232.09686
478	83231.93724
479	83231.73067
480	83117.8403
481	83117.72434
482	83078.50744
483	83078.46668
484	83078.44787
485	83058.74151
486	83046.16074
487	82930.40725
488	82928.94345
489	82911.83136
490	82909.8111
491	82901.22995
492	82886.11731
493	82876.15069
494	82865.59502
495	82794.10296
496	82766.97694
497	82674.41723
498	82634.40675
499	82583.32151
500	82574.01555
501	82573.75371
502	82565.10924
503	82560.65099
504	82551.66119
505	82544.08741
506	82542.28223
507	82534.92222
508	82531.32719
509	82528.15813
510	82508.434
511	82417.36343
512	82417.22436
513	82417.11057
514	82390.34103
515	82390.31257
516	82390.29044
517	82390.26514
518	82389.74029
519	82389.72764
520	82389.71499
521	82389.69602
522	82389.61698
523	82388.87079
524	82388.34276
525	82370.02413
526	82369.69522
527	82355.34541
528	82343.29305
529	82226.10975
530	82207.01663
531	82190.43884
532	82174.74216
533	82150.7666
534	82141.36724
535	82126.23847
536	82117.66427
537	82110.56442
538	82101.83628
539	82096.04873
540	82095.97892
541	82089.258
542	82086.36701
543	82086.30989
544	82086.26546
545	82086.22738
546	82086.16073
547	82077.67121
548	82077.65534
549	82077.62677
550	82077.61725
551	82075.93829
552	82075.92876
553	82074.59889
554	82072.90399
555	82060.06098
556	82058.98164
557	81904.72221
558	81876.37569
559	81872.41129
560	81792.4365
561	81730.77297
562	81728.36334
563	81725.64127
564	81710.37496
565	81668.16338
566	81637.17882
567	81623.72789
568	81623.0481
569	81619.81824
570	81611.6026
571	81608.88621
572	81607.87432
573	81606.18888
574	81604.23207
575	81602.5657
576	81601.27281
577	81600.14271
578	81599.31907
579	81598.73805
580	81597.97824
581	81597.37486
582	81560.69438
583	81557.40775
584	81554.51388
585	81527.53458
586	81506.35062
587	81504.20603
588	81502.9787
589	81489.68144
590	81487.71863
591	81348.09724
592	81344.99417
593	81342.27849
594	81342.17921
595	81339.9214
596	81338.5795
597	81337.70517
