iter	Passed	Remaining
0	38	29410
1	74	28625
2	113	28930
3	148	28531
4	183	28098
5	225	28777
6	280	30622
7	334	31945
8	391	33180
9	445	33883
10	502	34751
11	558	35322
12	616	35926
13	670	36257
14	728	36719
15	792	37391
16	848	37623
17	928	38854
18	999	39565
19	1068	40137
20	1136	40589
21	1207	41124
22	1273	41413
23	1341	41751
24	1404	41916
25	1465	41979
26	1530	42168
27	1589	42178
28	1651	42253
29	1670	41269
30	1735	41426
31	1799	41551
32	1860	41598
33	1922	41676
34	1980	41643
35	2039	41636
36	2095	41570
37	2154	41567
38	2215	41590
39	2276	41606
40	2343	41729
41	2408	41803
42	2475	41902
43	2540	41980
44	2614	42175
45	2667	42036
46	2731	42080
47	2794	42092
48	2853	42042
49	2929	42250
50	2996	42304
51	3070	42450
52	3140	42545
53	3210	42634
54	3285	42771
55	3347	42746
56	3410	42726
57	3467	42630
58	3530	42601
59	3593	42587
60	3658	42579
61	3721	42562
62	3796	42660
63	3869	42745
64	3936	42758
65	4001	42739
66	4066	42731
67	4123	42629
68	4183	42558
69	4241	42474
70	4306	42458
71	4364	42372
72	4428	42348
73	4494	42334
74	4568	42395
75	4635	42385
76	4694	42311
77	4757	42270
78	4818	42207
79	4881	42167
80	4944	42118
81	5001	42027
82	5060	41943
83	5116	41842
84	5170	41730
85	5225	41625
86	5282	41532
87	5347	41505
88	5415	41496
89	5482	41482
90	5542	41418
91	5607	41384
92	5668	41322
93	5731	41277
94	5801	41279
95	5862	41221
96	5922	41153
97	5987	41114
98	6052	41081
99	6118	41052
100	6186	41039
101	6245	40962
102	6295	40830
103	6350	40730
104	6410	40658
105	6471	40599
106	6529	40518
107	6587	40441
108	6649	40385
109	6714	40350
110	6790	40373
111	6866	40403
112	6934	40379
113	7008	40390
114	7066	40307
115	7127	40246
116	7188	40183
117	7251	40128
118	7320	40108
119	7397	40129
120	7468	40121
121	7529	40056
122	7588	39975
123	7648	39906
124	7705	39821
125	7759	39721
126	7819	39649
127	7869	39532
128	7926	39446
129	7984	39367
130	8055	39354
131	8122	39318
132	8193	39305
133	8263	39283
134	8326	39227
135	8381	39132
136	8424	38985
137	8466	38833
138	8522	38751
139	8581	38677
140	8641	38609
141	8704	38555
142	8768	38506
143	8847	38523
144	8907	38455
145	8966	38383
146	9006	38230
147	9047	38086
148	9091	37950
149	9146	37867
150	9202	37785
151	9259	37707
152	9322	37655
153	9392	37629
154	9463	37609
155	9528	37565
156	9573	37439
157	9614	37302
158	9653	37155
159	9698	37034
160	9754	36959
161	9809	36876
162	9867	36805
163	9930	36754
164	10007	36753
165	10070	36701
166	10131	36642
167	10186	36561
168	10228	36433
169	10272	36317
170	10327	36237
171	10384	36164
172	10444	36104
173	10504	36041
174	10574	36013
175	10647	35997
176	10706	35929
177	10764	35863
178	10826	35805
179	10873	35701
180	10928	35622
181	10983	35546
182	11039	35470
183	11097	35402
184	11156	35337
185	11223	35299
186	11278	35223
187	11336	35154
188	11392	35080
189	11448	35007
190	11511	34955
191	11582	34927
192	11654	34904
193	11718	34852
194	11778	34791
195	11819	34674
196	11862	34563
197	11919	34494
198	11974	34419
199	12029	34343
200	12098	34308
201	12172	34289
202	12243	34257
203	12311	34217
204	12368	34150
205	12412	34043
206	12453	33931
207	12497	33827
208	12549	33746
209	12607	33681
210	12666	33617
211	12735	33579
212	12811	33562
213	12876	33513
214	12942	33470
215	12988	33372
216	13026	33257
217	13071	33157
218	13126	33085
219	13182	33016
220	13245	32963
221	13309	32913
222	13377	32872
223	13454	32855
224	13523	32816
225	13572	32729
226	13612	32622
227	13654	32518
228	13719	32471
229	13775	32402
230	13831	32333
231	13901	32297
232	13977	32274
233	14049	32242
234	14109	32182
235	14170	32122
236	14213	32026
237	14255	31925
238	14308	31849
239	14363	31778
240	14418	31709
241	14481	31654
242	14552	31620
243	14626	31590
244	14692	31544
245	14748	31475
246	14791	31380
247	14831	31276
248	14870	31175
249	14933	31122
250	14991	31058
251	15049	30994
252	15109	30934
253	15175	30889
254	15242	30842
255	15302	30783
256	15364	30729
257	15415	30652
258	15464	30571
259	15522	30507
260	15579	30441
261	15644	30392
262	15714	30353
263	15791	30327
264	15860	30284
265	15928	30240
266	15975	30156
267	16018	30063
268	16064	29978
269	16125	29922
270	16185	29862
